
 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.
  For example, the following props contain divergent data at the upper RPM limits:
      11x8     (highest RPM)
      22x11E   (2 highest RPM's')


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
      9000        33        0.75    0.0140
     10000        37        0.75    0.0190
     11000        41        0.75    0.0260
     12000        45        0.75    0.0340
     13000        48        0.75    0.0430
     13999        54        0.75    0.0490
     15000        58        0.75    0.0600
     16000        62        0.76    0.0730
     17000        66        0.76    0.0870
     18000        70        0.77    0.1030
     19000        74        0.78    0.1210
     20000        78        0.78    0.1410
     21000        82        0.79    0.1630
     22000        86        0.79    0.1870
     23000        89        0.80    0.2140
     24000        93        0.80    0.2430
     25000        97        0.81    0.2750
     26000       101        0.81    0.3110
     26999       105        0.82    0.3520
     28000       109        0.82    0.3960
     29000       113        0.82    0.4440
     30000       117        0.82    0.4990
     31000       126        0.83    0.4920
     32000       130        0.83    0.5540
     33000       128        0.83    0.7090
     34000       132        0.82    0.8190
     36000       145        0.79    1.0070
     37000       143        0.76    1.2840
     38000       147        0.76    1.3620
 


           ========== 6x3R-RH ==========

       RPM       VMPH       EFF      HP
      2000         3        0.51    0.0000
      3000         5        0.50    0.0000
      4000         7        0.50    0.0010
      5000         9        0.50    0.0010
      6000        11        0.50    0.0020
      7000        13        0.51    0.0040
      8000        15        0.52    0.0060
      9000        17        0.51    0.0080
     10000        19        0.51    0.0110
     11000        21        0.52    0.0150
     12000        23        0.52    0.0190
     13000        25        0.52    0.0240
     14000        27        0.52    0.0300
     15000        29        0.52    0.0370
     16000        31        0.52    0.0440
     17000        33        0.53    0.0510
     18000        35        0.55    0.0580
     19000        37        0.55    0.0680
     20000        39        0.56    0.0780
     21000        41        0.56    0.0890
     22000        43        0.56    0.1040
     23000        45        0.55    0.1190
     24000        47        0.55    0.1310
     25000        49        0.55    0.1490
     26000        53        0.56    0.1600
     27000        53        0.55    0.1900
     28000        54        0.56    0.2070
     29000        56        0.56    0.2260
     30000        58        0.56    0.2510
     31000        60        0.56    0.2790
     32000        62        0.56    0.3090
     33000        64        0.56    0.3380
     34000        66        0.56    0.3680
     35000        68        0.57    0.3940
     36000        70        0.58    0.4290
     37000        72        0.59    0.4670
     38000        77        0.59    0.4800
     39000        76        0.60    0.5560
     40000        78        0.59    0.6150
     41000        84        0.60    0.6350
     42000        87        0.61    0.7370
 


           ========== 6x4 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.75    0.0000
      2000         7        0.75    0.0000
      3000        11        0.75    0.0010
      4000        15        0.75    0.0020
      5000        19        0.75    0.0030
      6000        22        0.75    0.0050
      7000        26        0.75    0.0090
      8000        30        0.75    0.0130
      9000        34        0.75    0.0180
     10000        38        0.75    0.0250
     11000        41        0.75    0.0340
     12000        45        0.75    0.0440
     13000        49        0.75    0.0560
     13999        53        0.76    0.0700
     15000        57        0.76    0.0850
     16000        60        0.77    0.1030
     17000        64        0.77    0.1230
     18000        68        0.78    0.1450
     19000        72        0.79    0.1700
     20000        76        0.79    0.1980
     21000        79        0.80    0.2290
     22000        83        0.80    0.2630
     23000        87        0.81    0.3010
     24000        91        0.81    0.3440
     25000        95        0.81    0.3910
     26000       103        0.81    0.4000
     26999       107        0.82    0.4510
     28000       111        0.82    0.5080
     29000       115        0.82    0.5730
     30000       119        0.82    0.6440
     31000       123        0.82    0.7250
     32000       127        0.81    0.8290
     33000       131        0.79    1.0050
     34000       135        0.77    1.1640
     36000       142        0.73    1.5360
     37000       144        0.70    1.8120
 


           ========== 6x42E-3 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.64    0.0000
      2000         7        0.64    0.0000
      3000        11        0.64    0.0010
      4000        14        0.64    0.0030
      5000        18        0.64    0.0060
      6000        21        0.64    0.0100
      7000        25        0.64    0.0160
      8000        29        0.64    0.0240
      9000        32        0.64    0.0340
     10000        36        0.64    0.0460
     11000        40        0.64    0.0610
     12000        43        0.64    0.0800
     13000        47        0.64    0.1020
     14000        53        0.65    0.1160
     15000        57        0.68    0.1390
     16000        61        0.69    0.1660
     17000        65        0.70    0.1990
     18000        69        0.71    0.2330
     19000        72        0.71    0.2750
     20000        76        0.72    0.3190
     21000        80        0.73    0.3690
     22000        84        0.73    0.4260
     23000        88        0.73    0.4900
     24000        92        0.73    0.5590
     25000        96        0.73    0.6390
